"","century","median.grainsize.um","accretion.rate.gcm2yr","%C.organic","%N","P.total","SiO2.prct","CN","NP","SiP","d15N.permil","d13C.organic"
"1","2000",57.2411764705882,0.072805899228772,4.95509940646505,0.440252874267939,2.46837641176471,9.37002878812388,12.4283874513939,18.1872991033635,385.138488039968,8.12382352941176,-20.4164705882353
"2","1900",36.3222222222222,0.0828498422259286,3.64170322139736,0.270500920045828,2.40349922222222,7.24906855908811,13.8834790790102,11.5100187478778,315.463041242505,7.37291666666667,-20.2525
"3","1800",31.715,0.0974534065049217,3.39874186017454,0.234363614667634,1.810892895,6.59470641900125,15.8146903880214,13.2154450095429,372.00793241676,5.019625,-18.646
"4","1700",140.454545454545,0.088042388146436,5.97685399580453,0.518547469864217,1.1668179,3.16043295351118,20.2326672376155,40.5412864069029,264.53385742212,2.265,-21.04
