"century","mean.phi","sd.phi","accretion.rate.gcm2yr","%C.organic","%N","P.pct.total","SiO2.prct","C.N.ratio","N.P.ratio","C.P.ratio","d15N.permil","d13C.organic","n","location","cluster"
"2000",5.60648304027163,1.69688249842874,0.0746071261547665,4.8862534159125,0.441924726589923,0.0252554241904762,9.31786967610974,11.1777307399896,17.8072348654376,196.685716263978,8.2040139714905,-20.3927966872182,21,NA,NA
"1900",5.09277653650247,1.87440682148761,0.0844431080399553,3.46999497798686,0.270574175459306,0.0236411181818182,7.09573972259705,12.9383126048562,11.755534933446,148.007719999767,7.29449244524005,-20.1881187562403,22,NA,NA
"1800",5.00354808579904,2.01728990865955,0.0966745617443727,3.34954631223211,0.252532133239457,0.0184520666666667,6.6835676883643,13.2067341684347,14.0542208563521,186.905762462798,5.02364902564121,-19.1909176395386,24,NA,NA
"1700",5.48718964322773,2.13541149996966,0.103392491436179,4.26278118008086,0.27401635784446,0.0154685294285714,4.69942249207729,15.1525846189194,19.3605669027938,299.684433773205,3.50603885098255,-20.5483454264384,7,NA,NA
NA,5.09540745534039,1.80002007935125,0.0861708180539808,3.94126224991606,0.321284431476421,0.0220944661851852,7.52559867634248,12.4710307744807,14.6442415071652,181.521103343752,6.05247321924274,-20.1613819458174,27,"North",NA
NA,5.43053211073521,1.98484376023111,0.0918050498227823,3.81433487385415,0.310724302562041,0.0212427465384615,7.18680780603834,12.9144529238461,15.4110326237263,191.206388965123,7.20097462996254,-19.5280635499654,26,"Middle",NA
NA,5.2144225255821,1.90608766375501,0.0835662650094043,3.98061921600326,0.307544062127375,0.0215588484285714,7.3826167544038,12.8529203947861,14.7294095557936,195.126824461118,6.05861230810803,-20.2248009317475,21,"South",NA
NA,5.56986374811104,1.72596934296067,0.0742226244235043,4.87317160000666,0.422726764936552,0.02627230004,8.96351649592766,11.953245459495,16.6641251720763,189.647582294376,8.19282111145025,-20.4500369162686,25,NA,"1"
NA,4.95162831099643,1.90118830959251,0.0890928111947172,3.34888849524081,0.263473380356004,0.0210295772972973,7.05382365500869,12.6647544521606,12.763178023094,162.828790811237,5.87068736280639,-19.8832399506503,37,NA,"2"
NA,5.26652784317925,2.22699167460537,0.122897185820562,2.56468305282208,0.189666301811016,0.012691525375,4.99920713771785,13.6067408901212,16.4753677939532,224.079692779757,5.40255638491191,-18.136786901372,8,NA,"3"
NA,5.92091131386303,2.23129660539131,0.0833144591726677,5.73104056433922,0.344480552519305,0.0162909375,5.002518581367,16.5309892208002,21.1888277685,352.90171436119,3.15414111986518,-21.1956720277781,4,NA,"4"
