"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","gravel.pct","sand.pct","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","N.P.ratio","C.N.ratio","Si.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr"
"Middle",1,0.579981763959356,8.41,6.03901051768631,-20.265,5.99785124651562,-20.25,0.009865197,0.023487397,0.0136222,364.515173066667,12.3250745665189,65.14,0.29,64.2,51.8666666666667,0,48.1366666666667,2015.5,2019.2,2017.8,2017.7,NA,NA,3.5,1,0.285714285714286,"2000",24.693318036024,10.412414480862,524.752681896549,2.3487397,0.0403667307715712,6.00450139223494,0.0828571428571429
"Middle",2,0.509020723983789,8.33,5.5410438718279,-20.035,5.54784650884409,-20.035,0.010174725,0.024415998,0.014241273,355.823599733333,11.4549031842357,65.01,0.31,67.3,50.4166666666667,0.07,49.5155555555556,2011.4,2015.5,2013.7,2013.6,NA,NA,4.10000000000014,1,0.243902439024382,"2000",20.8478360779596,10.8856940606692,469.155640667882,2.4415998,0.0378711418643939,6.07253459972295,0.0756097560975585
"Middle",3,0.486012350863185,8.345,5.17809589999022,-19.84,5.13328439959257,-19.88,0.009563958,0.022615719,0.013051761,320.1374816,10.156165965545,63.9,0.29,63.9,53.4111111111111,0,46.5811111111111,2003.6,2010.9,2007.8,2007.7,NA,NA,5.89999999999986,1,0.169491525423733,"2000",21.4900242996115,10.6542475531612,449.075528642046,2.2615719,0.0338264596200776,5.99774402605963,0.0491525423728825
"Middle",4,0.470897093533474,8.3,5.11481729005464,-19.755,5.14041083749128,-19.855,0.01079452,0.023680688,0.012886168,314.405649333333,10.5747456165878,64.14,0.29,56.6,54.79,0,45.2088888888889,1996,2006.5,2001.8,2001.7,NA,NA,6,1,0.166666666666667,"2000",19.8852792424559,10.8618578459989,446.555675096426,2.3680688,0.0327744377099298,5.82273014794452,0.0483333333333333
"Middle",6,0.457844015088838,8.38,5.20141796239979,-20.175,5.12601572123456,-20.045,0.011377157,0.026538591,0.015161434,265.706603733333,8.95684964063884,63.35,0.3,63.9,51.7,0,48.2877777777778,1988.3,2001.4,1996.1,1995.8,NA,NA,2.90000000000009,1,0.344827586206886,"2000",17.2520091623869,11.3606769794523,337.502832785615,2.6538591,0.0329647690863963,5.99774402605963,0.103448275862066
"Middle",8,0.451417631638382,8.215,5.11123130772477,-20.165,5.04533841680875,-20.08,0.011458808,0.025085936,0.013627127,263.7836432,8.45304582377877,61.9,0.34,58.9,53.8877777777778,0,46.1022222222222,1978.7,1995.1,1988.5,1988.1,NA,NA,4.10000000000014,1,0.243902439024382,"2000",17.9948490516113,11.3226222227386,336.963540996787,2.5085936,0.036835678741692,5.8801957289431,0.0829268292682899
"Middle",10,0.429873879293113,8.32,5.01288789386648,-20.3,4.90343311908149,-20.155,0.011844836,0.025902769,0.014057933,282.415252266667,9.44960273392992,60.75,0.35,57.8,55.5625,0,44.4391666666667,1966.4,1986.9,1978.5,1978,NA,NA,5.20000000000005,1,0.192307692307691,"2000",16.5956728137101,11.6612991282692,364.810524076786,2.5902769,0.0361094058606215,5.85299758761332,0.0673076923076917
"Middle",12,0.424398649640261,8.335,4.84099204534169,-19.965,4.83555976606401,-20.015,0.015518,0.030337681,0.014819681,288.907697333333,9.10274336110001,59.64,0.34,65.4,51.7077777777778,0.0766666666666667,48.2133333333333,1952,1976.7,1965.8,1965.3,NA,NA,6.5,1,0.153846153846154,"2000",13.9891592122767,11.4067093508547,300.047434775915,3.0337681,0.0346309298106453,6.03121873061072,0.0523076923076923
"Middle",14,0.392679709270437,8.145,4.73340242325075,-20.305,4.73538823477232,-20.265,0.013832703,0.030077067,0.016244364,264.124697333333,8.78356331590221,58.14,0.37,63.3,52.4344444444444,0,47.56,1935.2,1965.7,1952.4,1951.8,NA,TRUE,6.60000000000014,1,0.151515151515148,"2000",13.0557846371934,12.0541049397357,292.035234549373,3.0077067,0.0348699581832148,5.98413359454098,0.0560606060606049
"Middle",16,0.348390223893063,8.28,4.38782330859585,-20.74,4.34127916191939,-20.72,0.013465512,0.025146107,0.011680595,238.670002933333,8.06958706683049,57.58,0.4,56.3,55.9155555555556,0,44.0744444444444,1918.7,1955.7,1939.5,1939.2,NA,NA,6.39999999999986,1,0.156250000000003,"1900",13.8546385686286,12.594564966733,320.908006429405,2.5146107,0.033445461493734,5.81506301719287,0.0625000000000013
